date,home_team,away_team,tournament,match_year,elo_diff,home_elo,away_elo,home_form_pts,away_form_pts,form_pts_diff,home_form_gf,away_form_gf,home_form_ga,away_form_ga,home_is_host,away_is_host,host_diff,is_knockout,result
1903-04-04,England,Scotland,British Home Championship,1903,12.0,1995.0,1983.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0,0,0,0,Away Win
1904-04-09,Scotland,England,British Home Championship,1904,-12.0,1956.0,1968.0,2.0,0.5,1.5,2.0,1.5,1.5,2.0,0,0,0,0,Away Win
1905-04-01,England,Scotland,British Home Championship,1905,83.0,1981.0,1898.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,0,0,0,Home Win
1905-08-15,Argentina,Uruguay,Copa Lipton,1905,110.0,2005.0,1895.0,0.0,3.0,-3.0,2.0,3.0,3.0,2.0,0,0,0,0,Draw
1906-04-07,Scotland,England,British Home Championship,1906,-132.0,1841.0,1973.0,1.0,1.75,-0.75,1.0,1.25,1.25,1.0,0,0,0,0,Home Win
1906-04-22,France,Belgium,Friendly,1906,-157.0,1606.0,1763.0,0.0,3.0,-3.0,0.0,7.0,7.0,0.0,0,0,0,0,Away Win
1906-05-13,Netherlands,Belgium,Friendly,1906,173.0,1936.0,1763.0,0.0,3.0,-3.0,0.0,5.666666666666667,5.0,0.0,0,0,0,0,Away Win
1906-08-15,Uruguay,Argentina,Copa Lipton,1906,-94.0,1903.0,1997.0,2.0,0.5,1.5,1.5,1.0,1.0,1.5,0,0,0,0,Away Win
1906-10-21,Argentina,Uruguay,Copa Newton,1906,94.0,1997.0,1903.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.0,1.0,1.3333333333333333,0,0,0,0,Home Win
1907-04-06,England,Scotland,British Home Championship,1907,153.0,1973.0,1820.0,1.4,1.4,0.0,1.2,1.2,1.2,1.2,0,0,0,0,Draw
1907-04-14,Belgium,Netherlands,Friendly,1907,-42.0,1837.0,1879.0,3.0,0.0,3.0,5.0,1.0,0.5,4.0,0,0,0,0,Away Win
1907-04-21,Belgium,France,Friendly,1907,259.0,1837.0,1578.0,2.4,0.0,2.4,4.2,0.0,1.0,6.0,0,0,0,0,Away Win
1907-05-09,Netherlands,Belgium,Friendly,1907,42.0,1879.0,1837.0,1.0,1.8,-0.8,1.6666666666666667,3.0,3.0,1.4,0,0,0,0,Away Win
1908-03-29,Belgium,Netherlands,Friendly,1908,-33.0,1815.0,1848.0,1.8,0.75,1.05,2.4,1.5,1.6,2.75,0,0,0,0,Away Win
1908-04-04,Scotland,England,British Home Championship,1908,-169.0,1810.0,1979.0,1.4,1.4,0.0,1.0,1.0,1.0,1.0,0,0,0,0,Draw
1908-04-12,France,Belgium,Friendly,1908,-220.0,1595.0,1815.0,1.5,1.2,0.30000000000000004,1.0,1.6,3.5,2.4,0,0,0,0,Away Win
1908-04-26,Netherlands,Belgium,Friendly,1908,33.0,1848.0,1815.0,1.2,1.2,0.0,2.0,1.4,2.4,2.2,0,0,0,0,Home Win
1908-05-10,Netherlands,France,Friendly,1908,253.0,1848.0,1595.0,1.8,1.2,0.6000000000000001,2.6,1.0,1.6,3.2,0,0,0,0,Home Win
1908-06-08,Austria,England,Friendly,1908,-79.0,1900.0,1979.0,0.0,1.6,-1.6,1.0,2.0,6.0,1.0,0,0,0,0,Away Win
1908-08-15,Uruguay,Argentina,Copa Lipton,1908,-197.0,1828.0,2025.0,1.0,1.75,-0.75,1.0,1.5,1.5,1.0,0,0,0,0,Draw
1908-09-13,Argentina,Uruguay,Copa Newton,1908,197.0,2025.0,1828.0,1.6,1.0,0.6000000000000001,1.6,1.2,1.2,1.6,0,0,0,0,Home Win
1908-10-04,Argentina,Uruguay,Copa Premio Honor Argentino,1908,197.0,2025.0,1828.0,2.2,0.4,1.8000000000000003,1.6,0.8,0.8,1.6,0,0,0,0,Away Win
1909-03-21,Belgium,Netherlands,Friendly,1909,-133.0,1771.0,1904.0,1.2,2.4,-1.2,1.4,3.0,2.2,1.2,0,0,0,0,Away Win
1909-04-03,England,Scotland,British Home Championship,1909,311.0,2146.0,1835.0,1.6,1.0,0.6000000000000001,4.0,0.8,1.2,1.0,0,0,0,0,Home Win
